"type","file","line","target","context"
"old-support-link","docs/payment-faq/account-transfer/opasst-guideline/index.mdx","6","https://support.oceanpayment.com/en/wp-content/uploads/2025/04/Oceanpayment-OPASST-Guideline.pdf","[Oceanpayment-OPASST Guideline](https://support.oceanpayment.com/en/wp-content/uploads/2025/04/Oceanpayment-OPASST-Guideline.pdf)"
"old-support-link","docs/payment-faq/common-questions/klarna-apr-range-update-for-consumers/index.mdx","8","https://support.oceanpayment.com/en/wp-content/uploads/2025/04/Oceanpayment-Klarnas-APR-Range-Update-for-Consumers.pdf","https://support.oceanpayment.com/en/wp-content/uploads/2025/04/Oceanpayment-Klarnas-APR-Range-Update-for-Consumers.pdf"
"old-support-link","docs/payment-faq/common-questions/reduce-fraudulent-chargeback-transactions/index.mdx","10","https://support.oceanpayment.com/en/wp-content/uploads/2025/06/Oceanpayment-Risk-Control-Prevention-and-Control-of-Fraudulent-Transactions-2022-02-24.pdf","[Oceanpayment - Risk Control - Prevention and Control of Fraudulent Transactions 2022-02-24](https://support.oceanpayment.com/en/wp-content/uploads/2025/06/Oceanpayment-Risk-Control-Prevention-and-Control-of-Fraudulent-Transactions-2022-02-24.pdf)"
"old-support-upload-link","docs/compliance-certification/enterprise-certification-faq/enterprise-certification-materials/index.mdx","6","https://support.oceanpayment.com/wp-content/uploads/2025/04/V2_附件1-IAM__-__Oceanpayment__香港公司企业认证资料要求-20250417.pdf","[IAM-Oceanpayment香港公司企业认证资料要求](https://support.oceanpayment.com/wp-content/uploads/2025/04/V2_附件1-IAM__-__Oceanpayment__香港公司企业认证资料要求-20250417.pdf)"
"old-support-upload-link","docs/compliance-certification/enterprise-certification-faq/enterprise-certification-materials/index.mdx","8","https://support.oceanpayment.com/wp-content/uploads/2026/06/OPCard_企业认证资料清单_大陆公司-20260609.pdf","[IAM-Oceanpayment大陆公司企业认证资料要求](https://support.oceanpayment.com/wp-content/uploads/2026/06/OPCard_企业认证资料清单_大陆公司-20260609.pdf)"
"old-support-upload-link","docs/customer-service/customer-service-faq/multiple-account-logins/index.mdx","6","https://support.oceanpayment.com/wp-content/uploads/2021/11/Oceanpayment-ODPM-子账户配置指引.pdf","[Oceanpayment ODPM-子账户配置指引](https://support.oceanpayment.com/wp-content/uploads/2021/11/Oceanpayment-ODPM-子账户配置指引.pdf)"
"old-support-upload-link","docs/op-card-faq/common-questions/iam-opccount-global-account-application-guide/index.mdx","6","https://support.oceanpayment.com/wp-content/uploads/2026/04/IAM申请OPCCOUNT全球账户业务操作手册-2026年4月20日.pdf","[IAM申请OPCCOUNT全球账户业务操作手册](https://support.oceanpayment.com/wp-content/uploads/2026/04/IAM申请OPCCOUNT全球账户业务操作手册-2026年4月20日.pdf)"
"old-support-upload-link","docs/op-card-faq/common-questions/op-card-application-materials/index.mdx","6","https://support.oceanpayment.com/wp-content/uploads/2025/04/附件2-IAM__-__Oceanpayment__Card香港公司发卡业务申请资料要求-20250417.pdf","[IAM-Oceanpayment Card香港公司发卡实业行业申请资料要求](https://support.oceanpayment.com/wp-content/uploads/2025/04/附件2-IAM__-__Oceanpayment__Card香港公司发卡业务申请资料要求-20250417.pdf)"
"old-support-upload-link","docs/op-card-faq/common-questions/op-card-application-materials/index.mdx","8","https://support.oceanpayment.com/wp-content/uploads/2026/04/OPCard_发卡业务申请资料清单_（广告业务）-20250603.pdf","[IAM-Oceanpayment Card香港公司发卡广告业务申请资料要求](https://support.oceanpayment.com/wp-content/uploads/2026/04/OPCard_发卡业务申请资料清单_（广告业务）-20250603.pdf)"
"old-support-upload-link","docs/op-card-faq/common-questions/op-card-prohibited-industries/index.mdx","6","https://support.oceanpayment.com/wp-content/uploads/2025/04/禁入行业清单-20250423.pdf","[禁入行业清单](https://support.oceanpayment.com/wp-content/uploads/2025/04/禁入行业清单-20250423.pdf)"
"old-support-upload-link","docs/op-card-faq/common-questions/opcard-operation-guide/index.mdx","6","https://support.oceanpayment.com/wp-content/uploads/2025/06/ODPM-OP-Card-Oceanpayment-操作指引手册2025-8-5.pdf","[ODPM OP Card Oceanpayment 操作指引手册2025-8-5](https://support.oceanpayment.com/wp-content/uploads/2025/06/ODPM-OP-Card-Oceanpayment-操作指引手册2025-8-5.pdf)"
"old-support-upload-link","docs/op-card-faq/terms-conditions/terms-and-conditions/index.mdx","6","https://support.oceanpayment.com/wp-content/uploads/2025/11/Oceanpayment-卡条款和条件_202511281632411.pdf","[Oceanpayment 卡条款和条件\_20251128163241(1)](https://support.oceanpayment.com/wp-content/uploads/2025/11/Oceanpayment-卡条款和条件_202511281632411.pdf)"
"old-support-upload-link","docs/payment-faq/account-transfer/account-funds-and-reconciliation/index.mdx","6","https://support.oceanpayment.com/wp-content/uploads/2021/11/Oceanpayment对账说明-1.pdf","[Oceanpayment对账说明](https://support.oceanpayment.com/wp-content/uploads/2021/11/Oceanpayment对账说明-1.pdf)"
"old-support-upload-link","docs/payment-faq/account-transfer/successful-transaction-settlement/index.mdx","14","https://support.oceanpayment.com/wp-content/uploads/2021/11/OPASST平台操作指引-2025-8-19.pdf","[OPASST平台操作指引-2025-8-19](https://support.oceanpayment.com/wp-content/uploads/2021/11/OPASST平台操作指引-2025-8-19.pdf)"
"old-support-upload-link","docs/payment-faq/common-questions/afterpay-shopify-plugin-installation/index.mdx","6","https://support.oceanpayment.com/wp-content/uploads/2025/03/Afterpay针对Shopify网站的支付插件安装介绍.pdf","[Afterpay针对Shopify网站的支付插件安装介绍](https://support.oceanpayment.com/wp-content/uploads/2025/03/Afterpay针对Shopify网站的支付插件安装介绍.pdf)"
