"path","attachment_title","old_url","local_url"
"docs\op-card-faq\terms-conditions\terms-and-conditions\index.mdx","Terms and Conditions of the Oceanpayment Card_20251128163242","http://support.oceanpayment.com/en/wp-content/uploads/2025/12/Terms-and-Conditions-of-the-Oceanpayment-Card_20251128163242.pdf","/files/help-center/wordpress-attachments-en/attachment-25.pdf"
"docs\payment-faq\account-transfer\account-funds-and-reconciliation\index.mdx","Guideline of Reconciliation","https://support.oceanpayment.com/en/wp-content/uploads/2025/05/Guideline-of-Reconciliation.pdf","/files/help-center/wordpress-attachments-en/attachment-15.pdf"
"docs\payment-faq\account-transfer\opasst-guideline\index.mdx","Oceanpayment-OPASST Guideline","https://support.oceanpayment.com/en/wp-content/uploads/2025/04/Oceanpayment-OPASST-Guideline.pdf","/files/help-center/wordpress-attachments-en/attachment-16.pdf"
"docs\payment-faq\common-questions\chargeback-fraud-retrieval-orders\index.mdx","Oceanpayment-Chargeback Process Guidelines","https://support.oceanpayment.com/en/wp-content/uploads/2025/05/Oceanpayment-Chargeback-Process-Guidelines.pdf","/files/help-center/wordpress-attachments-en/attachment-08.pdf"
"docs\payment-faq\common-questions\chargeback-fraud-retrieval-orders\index.mdx","Oceanpayment-Retrieval Process Guidelines","https://support.oceanpayment.com/en/wp-content/uploads/2025/05/Oceanpayment-Retrieval-Process-Guidelines.pdf","/files/help-center/wordpress-attachments-en/attachment-09.pdf"
"docs\payment-faq\common-questions\chargeback-fraud-retrieval-orders\index.mdx","Oceanpayment-Fraud process Guidelines","https://support.oceanpayment.com/en/wp-content/uploads/2025/05/Oceanpayment-Fraud-process-Guidelines.pdf","/files/help-center/wordpress-attachments-en/attachment-10.pdf"
"docs\payment-faq\common-questions\high-risk-order-alert-email\index.mdx","ODPM Digital Platform High Fraud Risk Alert Manual 2025 04 10","https://support.oceanpayment.com/en/wp-content/uploads/2025/05/ODPM-Digital-Platform-High-Fraud-Risk-Alert-Manual-2025-04-10.pdf","/files/help-center/wordpress-attachments-en/attachment-07.pdf"
"docs\payment-faq\common-questions\ideal-merchant-operation-notes\index.mdx","iDEAL Operational Details For The Merchant Side","https://support.oceanpayment.com/en/wp-content/uploads/2025/03/iDEAL-Operational-Details-For-The-Merchant-Side-1.pdf","/files/help-center/wordpress-attachments-en/attachment-24.pdf"
"docs\payment-faq\common-questions\klarna-apr-range-update-for-consumers\index.mdx","Oceanpayment Klarnas APR Range Update for Consumers","https://support.oceanpayment.com/en/wp-content/uploads/2025/04/Oceanpayment-Klarnas-APR-Range-Update-for-Consumers.pdf","/files/help-center/wordpress-attachments-en/attachment-22.pdf"
"docs\payment-faq\common-questions\klarna-consumer-bill-sample\index.mdx","Klarna Bill Sample on the Customer-End 2025-04-03","https://support.oceanpayment.com/en/wp-content/uploads/2025/04/Klarna-Bill-Sample-on-the-Customer-End-2025-04-03.pdf","/files/help-center/wordpress-attachments-en/attachment-23.pdf"
