"status","file","line","target","localPath","size","contentType","error","context"
"downloaded","docs/compliance-certification/enterprise-certification-faq/enterprise-certification-materials/index.mdx","6","https://support.oceanpayment.com/wp-content/uploads/2025/04/V2_附件1-IAM__-__Oceanpayment__香港公司企业认证资料要求-20250417.pdf","static/files/help-center/wordpress-attachments/enterprise-certification-materials/attachment-01-6.pdf","303254","application/pdf","","[IAM-Oceanpayment香港公司企业认证资料要求](https://support.oceanpayment.com/wp-content/uploads/2025/04/V2_附件1-IAM__-__Oceanpayment__香港公司企业认证资料要求-20250417.pdf)"
"downloaded","docs/compliance-certification/enterprise-certification-faq/enterprise-certification-materials/index.mdx","8","https://support.oceanpayment.com/wp-content/uploads/2026/06/OPCard_企业认证资料清单_大陆公司-20260609.pdf","static/files/help-center/wordpress-attachments/enterprise-certification-materials/attachment-02-8.pdf","413525","application/pdf","","[IAM-Oceanpayment大陆公司企业认证资料要求](https://support.oceanpayment.com/wp-content/uploads/2026/06/OPCard_企业认证资料清单_大陆公司-20260609.pdf)"
"downloaded","docs/customer-service/customer-service-faq/multiple-account-logins/index.mdx","6","https://support.oceanpayment.com/wp-content/uploads/2021/11/Oceanpayment-ODPM-子账户配置指引.pdf","static/files/help-center/wordpress-attachments/multiple-account-logins/attachment-03-6.pdf","993206","application/pdf","","[Oceanpayment ODPM-子账户配置指引](https://support.oceanpayment.com/wp-content/uploads/2021/11/Oceanpayment-ODPM-子账户配置指引.pdf)"
"downloaded","docs/op-card-faq/common-questions/iam-opccount-global-account-application-guide/index.mdx","6","https://support.oceanpayment.com/wp-content/uploads/2026/04/IAM申请OPCCOUNT全球账户业务操作手册-2026年4月20日.pdf","static/files/help-center/wordpress-attachments/iam-opccount-global-account-application-guide/attachment-04-6.pdf","953882","application/pdf","","[IAM申请OPCCOUNT全球账户业务操作手册](https://support.oceanpayment.com/wp-content/uploads/2026/04/IAM申请OPCCOUNT全球账户业务操作手册-2026年4月20日.pdf)"
"downloaded","docs/op-card-faq/common-questions/op-card-application-materials/index.mdx","6","https://support.oceanpayment.com/wp-content/uploads/2025/04/附件2-IAM__-__Oceanpayment__Card香港公司发卡业务申请资料要求-20250417.pdf","static/files/help-center/wordpress-attachments/op-card-application-materials/attachment-05-6.pdf","433370","application/pdf","","[IAM-Oceanpayment Card香港公司发卡实业行业申请资料要求](https://support.oceanpayment.com/wp-content/uploads/2025/04/附件2-IAM__-__Oceanpayment__Card香港公司发卡业务申请资料要求-20250417.pdf)"
"downloaded","docs/op-card-faq/common-questions/op-card-application-materials/index.mdx","8","https://support.oceanpayment.com/wp-content/uploads/2026/04/OPCard_发卡业务申请资料清单_（广告业务）-20250603.pdf","static/files/help-center/wordpress-attachments/op-card-application-materials/attachment-06-8.pdf","456085","application/pdf","","[IAM-Oceanpayment Card香港公司发卡广告业务申请资料要求](https://support.oceanpayment.com/wp-content/uploads/2026/04/OPCard_发卡业务申请资料清单_（广告业务）-20250603.pdf)"
"downloaded","docs/op-card-faq/common-questions/op-card-prohibited-industries/index.mdx","6","https://support.oceanpayment.com/wp-content/uploads/2025/04/禁入行业清单-20250423.pdf","static/files/help-center/wordpress-attachments/op-card-prohibited-industries/attachment-07-6.pdf","1335943","application/pdf","","[禁入行业清单](https://support.oceanpayment.com/wp-content/uploads/2025/04/禁入行业清单-20250423.pdf)"
"downloaded","docs/op-card-faq/common-questions/opcard-operation-guide/index.mdx","6","https://support.oceanpayment.com/wp-content/uploads/2025/06/ODPM-OP-Card-Oceanpayment-操作指引手册2025-8-5.pdf","static/files/help-center/wordpress-attachments/opcard-operation-guide/attachment-08-6.pdf","3700676","application/pdf","","[ODPM OP Card Oceanpayment 操作指引手册2025-8-5](https://support.oceanpayment.com/wp-content/uploads/2025/06/ODPM-OP-Card-Oceanpayment-操作指引手册2025-8-5.pdf)"
"downloaded","docs/op-card-faq/terms-conditions/terms-and-conditions/index.mdx","6","https://support.oceanpayment.com/wp-content/uploads/2025/11/Oceanpayment-卡条款和条件_202511281632411.pdf","static/files/help-center/wordpress-attachments/terms-and-conditions/attachment-09-6.pdf","186400","application/pdf","","[Oceanpayment 卡条款和条件\_20251128163241(1)](https://support.oceanpayment.com/wp-content/uploads/2025/11/Oceanpayment-卡条款和条件_202511281632411.pdf)"
"downloaded","docs/payment-faq/account-transfer/account-funds-and-reconciliation/index.mdx","6","https://support.oceanpayment.com/wp-content/uploads/2021/11/Oceanpayment对账说明-1.pdf","static/files/help-center/wordpress-attachments/account-funds-and-reconciliation/attachment-10-6.pdf","2291481","application/pdf","","[Oceanpayment对账说明](https://support.oceanpayment.com/wp-content/uploads/2021/11/Oceanpayment对账说明-1.pdf)"
"downloaded","docs/payment-faq/account-transfer/successful-transaction-settlement/index.mdx","14","https://support.oceanpayment.com/wp-content/uploads/2021/11/OPASST平台操作指引-2025-8-19.pdf","static/files/help-center/wordpress-attachments/successful-transaction-settlement/attachment-11-14.pdf","4292021","application/pdf","","[OPASST平台操作指引-2025-8-19](https://support.oceanpayment.com/wp-content/uploads/2021/11/OPASST平台操作指引-2025-8-19.pdf)"
"downloaded","docs/payment-faq/common-questions/afterpay-shopify-plugin-installation/index.mdx","6","https://support.oceanpayment.com/wp-content/uploads/2025/03/Afterpay针对Shopify网站的支付插件安装介绍.pdf","static/files/help-center/wordpress-attachments/afterpay-shopify-plugin-installation/attachment-12-6.pdf","415181","application/pdf","","[Afterpay针对Shopify网站的支付插件安装介绍](https://support.oceanpayment.com/wp-content/uploads/2025/03/Afterpay针对Shopify网站的支付插件安装介绍.pdf)"
