"序号","一级目录","二级目录","文档标题","上线批次","上线状态","语言","文档ID","正式域名URL","GitHub Pages预览URL","新帮助中心路径","源码路径","旧帮助中心目录","旧帮助中心标题","是否有附件","附件数量","附件是否已本地化","语言覆盖","对应语言文档ID","对应语言正式URL","是否目录入口文档","是否需要业务复核","复核原因","复核负责人","复核结论","维护方式","最后更新时间","备注"
"1","产品与服务","Oceanpayment 产品与服务","Oceanpayment Recurring知识介绍","2026-07-08 帮助中心上线","待上线","中文","products-services/oceanpayment-products/oceanpayment-recurring-introduction","https://support.oceanpayment.com/docs/products-services/oceanpayment-products/oceanpayment-recurring-introduction/","https://keaton1167.github.io/oceanpayment-help-center/docs/products-services/oceanpayment-products/oceanpayment-recurring-introduction/","/docs/products-services/oceanpayment-products/oceanpayment-recurring-introduction/","docs/products-services/oceanpayment-products/oceanpayment-recurring-introduction/index.mdx","Oceanpayment产品与服务","Oceanpayment Recurring知识介绍","否","0","不涉及","中英文均有","products-services/oceanpayment-products/oceanpayment-recurring-introduction","https://support.oceanpayment.com/en/docs/products-services/oceanpayment-products/oceanpayment-recurring-introduction/","是","否","","","","过渡期人工维护","2026/07/06",""
"2","产品与服务","Oceanpayment 产品与服务","如需开通新的支付方式，如何获取产品价格进行开通？","2026-07-08 帮助中心上线","待上线","中文","products-services/oceanpayment-products/activate-new-payment-method-pricing","https://support.oceanpayment.com/docs/products-services/oceanpayment-products/activate-new-payment-method-pricing/","https://keaton1167.github.io/oceanpayment-help-center/docs/products-services/oceanpayment-products/activate-new-payment-method-pricing/","/docs/products-services/oceanpayment-products/activate-new-payment-method-pricing/","docs/products-services/oceanpayment-products/activate-new-payment-method-pricing/index.mdx","Oceanpayment产品与服务","如需开通新的支付方式，如何获取产品价格进行开通？","否","0","不涉及","中英文均有","products-services/oceanpayment-products/activate-new-payment-method-pricing","https://support.oceanpayment.com/en/docs/products-services/oceanpayment-products/activate-new-payment-method-pricing/","否","否","","","","过渡期人工维护","2026/07/06",""
"3","产品与服务","Oceanpayment 产品与服务","Oceanpayment是否可以支持Shopify或其他建站平台？","2026-07-08 帮助中心上线","待上线","中文","products-services/oceanpayment-products/support-shopify-or-other-platforms","https://support.oceanpayment.com/docs/products-services/oceanpayment-products/support-shopify-or-other-platforms/","https://keaton1167.github.io/oceanpayment-help-center/docs/products-services/oceanpayment-products/support-shopify-or-other-platforms/","/docs/products-services/oceanpayment-products/support-shopify-or-other-platforms/","docs/products-services/oceanpayment-products/support-shopify-or-other-platforms/index.mdx","Oceanpayment产品与服务","Oceanpayment是否可以支持Shopify或其他建站平台？","否","0","不涉及","中英文均有","products-services/oceanpayment-products/support-shopify-or-other-platforms","https://support.oceanpayment.com/en/docs/products-services/oceanpayment-products/support-shopify-or-other-platforms/","否","否","","","","过渡期人工维护","2026/07/06",""
"4","产品与服务","Oceanpayment 产品与服务","Oceanpayment是否支持Mobile端的支付？","2026-07-08 帮助中心上线","待上线","中文","products-services/oceanpayment-products/support-mobile-payment","https://support.oceanpayment.com/docs/products-services/oceanpayment-products/support-mobile-payment/","https://keaton1167.github.io/oceanpayment-help-center/docs/products-services/oceanpayment-products/support-mobile-payment/","/docs/products-services/oceanpayment-products/support-mobile-payment/","docs/products-services/oceanpayment-products/support-mobile-payment/index.mdx","Oceanpayment产品与服务","Oceanpayment是否支持Mobile端的支付？","否","0","不涉及","中英文均有","products-services/oceanpayment-products/support-mobile-payment","https://support.oceanpayment.com/en/docs/products-services/oceanpayment-products/support-mobile-payment/","否","否","","","","过渡期人工维护","2026/07/06",""
"5","产品与服务","Oceanpayment 产品与服务","Oceanpayment可以提供哪些支付产品？","2026-07-08 帮助中心上线","待上线","中文","products-services/oceanpayment-products/available-payment-products","https://support.oceanpayment.com/docs/products-services/oceanpayment-products/available-payment-products/","https://keaton1167.github.io/oceanpayment-help-center/docs/products-services/oceanpayment-products/available-payment-products/","/docs/products-services/oceanpayment-products/available-payment-products/","docs/products-services/oceanpayment-products/available-payment-products/index.mdx","Oceanpayment产品与服务","Oceanpayment可以提供哪些支付产品？","否","0","不涉及","中英文均有","products-services/oceanpayment-products/available-payment-products","https://support.oceanpayment.com/en/docs/products-services/oceanpayment-products/available-payment-products/","否","否","","","","过渡期人工维护","2026/07/06",""
"6","合规与认证","准入与合规管理","Oceanpayment禁止和受限接入的行业","2026-07-08 帮助中心上线","待上线","中文","compliance-certification/access-compliance/prohibited-and-restricted-businesses","https://support.oceanpayment.com/docs/compliance-certification/access-compliance/prohibited-and-restricted-businesses/","https://keaton1167.github.io/oceanpayment-help-center/docs/compliance-certification/access-compliance/prohibited-and-restricted-businesses/","/docs/compliance-certification/access-compliance/prohibited-and-restricted-businesses/","docs/compliance-certification/access-compliance/prohibited-and-restricted-businesses/index.mdx","准入与合规管理","Oceanpayment禁止和受限接入的行业","否","0","不涉及","中英文均有","compliance-certification/access-compliance/prohibited-and-restricted-businesses","https://support.oceanpayment.com/en/docs/compliance-certification/access-compliance/prohibited-and-restricted-businesses/","是","否","","","","过渡期人工维护","2026/07/07","2026-07-07正文结构与列表样式已整理"
"7","客户服务","客户服务常见问题","Oceanpayment投诉与建议的联系方式？","2026-07-08 帮助中心上线","待上线","中文","customer-service/customer-service-faq/oceanpayment-complaints-and-suggestions-contact","https://support.oceanpayment.com/docs/customer-service/customer-service-faq/oceanpayment-complaints-and-suggestions-contact/","https://keaton1167.github.io/oceanpayment-help-center/docs/customer-service/customer-service-faq/oceanpayment-complaints-and-suggestions-contact/","/docs/customer-service/customer-service-faq/oceanpayment-complaints-and-suggestions-contact/","docs/customer-service/customer-service-faq/oceanpayment-complaints-and-suggestions-contact/index.mdx","客户服务常见问题","Oceanpayment投诉与建议的联系方式？","否","0","不涉及","中英文均有","customer-service/customer-service-faq/oceanpayment-complaints-and-suggestions-contact","https://support.oceanpayment.com/en/docs/customer-service/customer-service-faq/oceanpayment-complaints-and-suggestions-contact/","是","否","","","","过渡期人工维护","2026/07/06",""
"8","客户服务","客户服务常见问题","忘了Oceanpayment账户后台登陆密码，该如何重置密码？","2026-07-08 帮助中心上线","待上线","中文","customer-service/customer-service-faq/reset-oceanpayment-dashboard-password","https://support.oceanpayment.com/docs/customer-service/customer-service-faq/reset-oceanpayment-dashboard-password/","https://keaton1167.github.io/oceanpayment-help-center/docs/customer-service/customer-service-faq/reset-oceanpayment-dashboard-password/","/docs/customer-service/customer-service-faq/reset-oceanpayment-dashboard-password/","docs/customer-service/customer-service-faq/reset-oceanpayment-dashboard-password/index.mdx","客户服务常见问题","忘了Oceanpayment账户后台登陆密码，该如何重置密码？","否","0","不涉及","中英文均有","customer-service/customer-service-faq/reset-oceanpayment-dashboard-password","https://support.oceanpayment.com/en/docs/customer-service/customer-service-faq/reset-oceanpayment-dashboard-password/","否","否","","","","过渡期人工维护","2026/07/06",""
"9","客户服务","客户服务常见问题","Oceanpayment的账户后台，支持多账户登陆吗？","2026-07-08 帮助中心上线","待上线","中文","customer-service/customer-service-faq/multiple-account-logins","https://support.oceanpayment.com/docs/customer-service/customer-service-faq/multiple-account-logins/","https://keaton1167.github.io/oceanpayment-help-center/docs/customer-service/customer-service-faq/multiple-account-logins/","/docs/customer-service/customer-service-faq/multiple-account-logins/","docs/customer-service/customer-service-faq/multiple-account-logins/index.mdx","客户服务常见问题","Oceanpayment的账户后台，支持多账户登陆吗？","否","0","不涉及","中英文均有","customer-service/customer-service-faq/multiple-account-logins","https://support.oceanpayment.com/en/docs/customer-service/customer-service-faq/multiple-account-logins/","否","否","","","","过渡期人工维护","2026/07/06",""
"10","ODPM 账户后台操作指引","板块操作指引","Oceanpayment ODPM-账户后台网站申请指引","2026-07-08 帮助中心上线","待上线","中文","odpm-guide/section-guide/account-application-guide","https://support.oceanpayment.com/docs/odpm-guide/section-guide/account-application-guide/","https://keaton1167.github.io/oceanpayment-help-center/docs/odpm-guide/section-guide/account-application-guide/","/docs/odpm-guide/section-guide/account-application-guide/","docs/odpm-guide/section-guide/account-application-guide/index.mdx","","","否","0","不涉及","中文-only","","","是","是","旧站来源/备注需复核","","","过渡期人工维护","2026/07/06","旧站来源待补充或非迁移审计直接匹配, 仅中文站上线"
