"status","oldCategory","oldTitle","attachmentTitle","sourceMarkdown","line","oldUrl","localBackup","reviewCopy","size","contentType","error"
"downloaded","ODPM后台板块操作指引","网站新增接入教程","Oceanpayment ODPM-账户后台网站申请指引","migration/output/zh/custom/lsvr_kba/网站新增接入教程/index.md","8","https://support.oceanpayment.com/wp-content/uploads/2025/06/Oceanpayment-ODPM-账户后台网站申请指引.pdf","static/files/help-center/wordpress-attachments-odpm/attachment-01-网站新增接入教程.pdf","migration/review/attachments-odpm/01 - ODPM后台板块操作指引 - 网站新增接入教程 - Oceanpayment ODPM-账户后台网站申请指引.pdf","1117166","application/pdf",""
"downloaded","ODPM后台板块操作指引","退款操作说明","Oceanpayment ODPM-退款流程","migration/output/zh/custom/lsvr_kba/退款操作说明/index.md","6","https://support.oceanpayment.com/wp-content/uploads/2025/06/Oceanpayment-ODPM-退款流程-1.pdf","static/files/help-center/wordpress-attachments-odpm/attachment-02-退款操作说明.pdf","migration/review/attachments-odpm/02 - ODPM后台板块操作指引 - 退款操作说明 - Oceanpayment ODPM-退款流程.pdf","1001981","application/pdf",""
"downloaded","ODPM后台板块操作指引","财务对账说明","Oceanpayment对账说明","migration/output/zh/custom/lsvr_kba/财务对账说明/index.md","6","https://support.oceanpayment.com/wp-content/uploads/2025/06/Oceanpayment对账说明-4.pdf","static/files/help-center/wordpress-attachments-odpm/attachment-03-财务对账说明.pdf","migration/review/attachments-odpm/03 - ODPM后台板块操作指引 - 财务对账说明 - Oceanpayment对账说明.pdf","2291481","application/pdf",""
"downloaded","ODPM后台板块操作指引","常见交易返回码及物流上传说明","跨境支付常见返回码说明文档.xlsx","migration/output/zh/custom/lsvr_kba/常见交易返回码及物流上传说明/index.md","6","https://support.oceanpayment.com/wp-content/uploads/2026/01/跨境支付常见返回码说明文档.xlsx","static/files/help-center/wordpress-attachments-odpm/attachment-04-常见交易返回码及物流上传说明.xlsx","migration/review/attachments-odpm/04 - ODPM后台板块操作指引 - 常见交易返回码及物流上传说明 - 跨境支付常见返回码说明文档.xlsx","18365","application/vnd.openxmlformats-officedocument.spreadsheetml.sheet",""
"downloaded","ODPM后台板块操作指引","常见交易返回码及物流上传说明","Oceanpayment ODPM-物流单号上传手册","migration/output/zh/custom/lsvr_kba/常见交易返回码及物流上传说明/index.md","8","https://support.oceanpayment.com/wp-content/uploads/2025/06/Oceanpayment-ODPM-物流单号上传手册.pdf","static/files/help-center/wordpress-attachments-odpm/attachment-05-常见交易返回码及物流上传说明.pdf","migration/review/attachments-odpm/05 - ODPM后台板块操作指引 - 常见交易返回码及物流上传说明 - Oceanpayment ODPM-物流单号上传手册.pdf","1193898","application/pdf",""
"downloaded","ODPM后台板块操作指引","高欺诈警报、黑名单、白名单风控教程","【ODPM数字平台】Oceanpayment——高欺诈风险警报操作手册 2025-07-25","migration/output/zh/custom/lsvr_kba/高欺诈警报、黑名单、白名单风控教程/index.md","6","https://support.oceanpayment.com/wp-content/uploads/2025/06/【ODPM数字平台】Oceanpayment——高欺诈风险警报操作手册-2025-07-25.pdf","static/files/help-center/wordpress-attachments-odpm/attachment-06-高欺诈警报、黑名单、白名单风控教程.pdf","migration/review/attachments-odpm/06 - ODPM后台板块操作指引 - 高欺诈警报、黑名单、白名单风控教程 - 【ODPM数字平台】Oceanpayment——高欺诈风险警报操作手册 2025-07-25.pdf","1256675","application/pdf",""
"downloaded","ODPM后台板块操作指引","高欺诈警报、黑名单、白名单风控教程","Ocenapayment ODPM数字平台——黑名单操作手册 2025-07-25","migration/output/zh/custom/lsvr_kba/高欺诈警报、黑名单、白名单风控教程/index.md","8","https://support.oceanpayment.com/wp-content/uploads/2025/06/Ocenapayment-ODPM数字平台——黑名单操作手册-2025-07-25.pdf","static/files/help-center/wordpress-attachments-odpm/attachment-07-高欺诈警报、黑名单、白名单风控教程.pdf","migration/review/attachments-odpm/07 - ODPM后台板块操作指引 - 高欺诈警报、黑名单、白名单风控教程 - Ocenapayment ODPM数字平台——黑名单操作手册 2025-07-25.pdf","1348313","application/pdf",""
"downloaded","ODPM后台板块操作指引","高欺诈警报、黑名单、白名单风控教程","Ocenapayment ODPM数字平台——白名单操作手册 2025-07-25","migration/output/zh/custom/lsvr_kba/高欺诈警报、黑名单、白名单风控教程/index.md","10","https://support.oceanpayment.com/wp-content/uploads/2025/06/Ocenapayment-ODPM数字平台——白名单操作手册-2025-07-25.pdf","static/files/help-center/wordpress-attachments-odpm/attachment-08-高欺诈警报、黑名单、白名单风控教程.pdf","migration/review/attachments-odpm/08 - ODPM后台板块操作指引 - 高欺诈警报、黑名单、白名单风控教程 - Ocenapayment ODPM数字平台——白名单操作手册 2025-07-25.pdf","1215275","application/pdf",""
"downloaded","ODPM后台板块操作指引","ODPM账户后台操作手册","https://support.oceanpayment.com/wp-content/uploads/2025/10/Oceanpayment%20ODPM-%E6%95%B0%E5%AD%97%E5%B9%B3%E5%8F%B0%E6%93%8D%E4%BD%9C%E6%8C%87%E5%BC%95%E6%89%8B%E5%86%8C2025-10-09.pdf","migration/output/zh/custom/lsvr_kba/odpm账户后台操作手册/index.md","6","https://support.oceanpayment.com/wp-content/uploads/2025/10/Oceanpayment%20ODPM-%E6%95%B0%E5%AD%97%E5%B9%B3%E5%8F%B0%E6%93%8D%E4%BD%9C%E6%8C%87%E5%BC%95%E6%89%8B%E5%86%8C2025-10-09.pdf","static/files/help-center/wordpress-attachments-odpm/attachment-09-ODPM账户后台操作手册.pdf","migration/review/attachments-odpm/09 - ODPM后台板块操作指引 - ODPM账户后台操作手册 - Oceanpayment ODPM-数字平台操作指引手册2025-10-09.pdf","7927035","application/pdf",""
"downloaded","ODPM后台板块操作指引","数据分析功能手册说明","【ODPM】Oceanpayment 数据分析功能手册 2025-08-25","migration/output/zh/custom/lsvr_kba/数据分析功能手册说明/index.md","6","https://support.oceanpayment.com/wp-content/uploads/2025/08/【ODPM】Oceanpayment-数据分析功能手册-2025-08-25.pdf","static/files/help-center/wordpress-attachments-odpm/attachment-10-数据分析功能手册说明.pdf","migration/review/attachments-odpm/10 - ODPM后台板块操作指引 - 数据分析功能手册说明 - 【ODPM】Oceanpayment 数据分析功能手册 2025-08-25.pdf","1210789","application/pdf",""
"downloaded","ODPM后台板块操作指引","异常交易处理说明","Oceanpayment-ODPM数字平台操作指引手册-异常交易管理","migration/output/zh/custom/lsvr_kba/异常交易处理说明/index.md","6","https://support.oceanpayment.com/wp-content/uploads/2026/06/Oceanpayment-ODPM数字平台操作指引手册-异常交易管理-1.pdf","static/files/help-center/wordpress-attachments-odpm/attachment-11-异常交易处理说明.pdf","migration/review/attachments-odpm/11 - ODPM后台板块操作指引 - 异常交易处理说明 - Oceanpayment-ODPM数字平台操作指引手册-异常交易管理.pdf","4164797","application/pdf",""
"downloaded","ODPM后台板块操作指引","拒付撤销核实指引","Oceanpayment 商户发起拒付撤销指引","migration/output/zh/custom/lsvr_kba/拒付撤销核实指引/index.md","6","https://support.oceanpayment.com/wp-content/uploads/2025/09/Oceanpayment-商户发起拒付撤销指引.pdf","static/files/help-center/wordpress-attachments-odpm/attachment-12-拒付撤销核实指引.pdf","migration/review/attachments-odpm/12 - ODPM后台板块操作指引 - 拒付撤销核实指引 - Oceanpayment 商户发起拒付撤销指引.pdf","1344417","application/pdf",""
"downloaded","ODPM后台板块操作指引","微信绑定指导手册","Oceanpayment ODPM-微信绑定操作手册","migration/output/zh/custom/lsvr_kba/微信绑定指导手册/index.md","6","https://support.oceanpayment.com/wp-content/uploads/2025/09/Oceanpayment-ODPM-微信绑定操作手册.pdf","static/files/help-center/wordpress-attachments-odpm/attachment-13-微信绑定指导手册.pdf","migration/review/attachments-odpm/13 - ODPM后台板块操作指引 - 微信绑定指导手册 - Oceanpayment ODPM-微信绑定操作手册.pdf","939560","application/pdf",""
"downloaded","ODPM后台板块操作指引","子账户配置指引","Oceanpayment ODPM-子账户配置指引","migration/output/zh/custom/lsvr_kba/子账户配置指引/index.md","6","https://support.oceanpayment.com/wp-content/uploads/2025/09/Oceanpayment-ODPM-子账户配置指引-1.pdf","static/files/help-center/wordpress-attachments-odpm/attachment-14-子账户配置指引.pdf","migration/review/attachments-odpm/14 - ODPM后台板块操作指引 - 子账户配置指引 - Oceanpayment ODPM-子账户配置指引.pdf","993206","application/pdf",""
"downloaded","ODPM后台板块操作指引","拒付申诉批量操作指引","Oceanpayment-商户批量申诉操作指引","migration/output/zh/custom/lsvr_kba/拒付申诉批量操作指引/index.md","6","https://support.oceanpayment.com/wp-content/uploads/2025/09/Oceanpayment-商户批量申诉操作指引.pdf","static/files/help-center/wordpress-attachments-odpm/attachment-15-拒付申诉批量操作指引.pdf","migration/review/attachments-odpm/15 - ODPM后台板块操作指引 - 拒付申诉批量操作指引 - Oceanpayment-商户批量申诉操作指引.pdf","1688195","application/pdf",""
"downloaded","ODPM后台板块操作指引","ODPM小程序教程","Oceanpayment ODPM-小程序教程","migration/output/zh/custom/lsvr_kba/odpm小程序教程/index.md","6","https://support.oceanpayment.com/wp-content/uploads/2025/10/Oceanpayment-ODPM-小程序教程.pdf","static/files/help-center/wordpress-attachments-odpm/attachment-16-ODPM小程序教程.pdf","migration/review/attachments-odpm/16 - ODPM后台板块操作指引 - ODPM小程序教程 - Oceanpayment ODPM-小程序教程.pdf","1288653","application/pdf",""
"downloaded","ODPM后台板块操作指引","拒付申诉资料提交指引","Oceanpayment-商户申诉资料提交指引","migration/output/zh/custom/lsvr_kba/拒付申诉资料提交指引/index.md","6","https://support.oceanpayment.com/wp-content/uploads/2025/11/Oceanpayment-商户申诉资料提交指引-1.pdf","static/files/help-center/wordpress-attachments-odpm/attachment-17-拒付申诉资料提交指引.pdf","migration/review/attachments-odpm/17 - ODPM后台板块操作指引 - 拒付申诉资料提交指引 - Oceanpayment-商户申诉资料提交指引.pdf","3670332","application/pdf",""
"downloaded","ODPM后台板块操作指引","ODPM二次验证说明","Oceanpayment-ODPM-二次验证说明手册","migration/output/zh/custom/lsvr_kba/odpm二次验证说明/index.md","6","https://support.oceanpayment.com/wp-content/uploads/2026/02/Oceanpayment-ODPM-%E4%BA%8C%E6%AC%A1%E9%AA%8C%E8%AF%81%E8%AF%B4%E6%98%8E%E6%89%8B%E5%86%8C.pdf","static/files/help-center/wordpress-attachments-odpm/attachment-18-ODPM二次验证说明.pdf","migration/review/attachments-odpm/18 - ODPM后台板块操作指引 - ODPM二次验证说明 - Oceanpayment-ODPM-二次验证说明手册.pdf","1072913","application/pdf",""
"downloaded","ODPM后台板块操作指引","ODPM合同协议签署教程","Oceanpayment ODPM-协议签署操作手册","migration/output/zh/custom/lsvr_kba/odpm合同协议签署教程/index.md","6","https://support.oceanpayment.com/wp-content/uploads/2026/06/Oceanpayment-ODPM-协议签署操作手册.pdf","static/files/help-center/wordpress-attachments-odpm/attachment-19-ODPM合同协议签署教程.pdf","migration/review/attachments-odpm/19 - ODPM后台板块操作指引 - ODPM合同协议签署教程 - Oceanpayment ODPM-协议签署操作手册.pdf","1141818","application/pdf",""
